label,timeframe,start,end,years,trades,wins,losses,win_rate,profit_factor,net_profit,net_profit_pct,cagr_pct,max_dd_pct,sharpe,avg_trade_pct,avg_win_pct,avg_loss_pct,tp_exits,sl_exits,long_trades,long_wr,long_pnl,short_trades,short_wr,short_pnl,exposure_pct,avg_bars_held,sep_pct,sl_kind,sl_val,direction
sep 5.0% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.459,5514.92,5.51,0.37,-9.4,0.48,7.8785,43.813,-40.035,4,3,0,,0.0,7,57.1,5514.92,14.34,15.7,5.0,1R to TP,,short only
sep 2.0% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.459,5514.92,5.51,0.37,-9.4,0.48,7.8785,43.813,-40.035,4,3,0,,0.0,7,57.1,5514.92,14.34,15.7,2.0,1R to TP,,short only
sep 2.0% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.459,5513.83,5.51,0.37,-9.4,0.48,6.8923,43.813,-30.029,5,3,1,0.0,-1.09,7,57.1,5514.92,14.47,13.9,2.0,1R to TP,,both
sep 0.15% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.459,5513.83,5.51,0.37,-9.4,0.48,6.8923,43.813,-30.029,5,3,1,0.0,-1.09,7,57.1,5514.92,14.47,13.9,0.15,1R to TP,,both
sep 0.15% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.459,5514.92,5.51,0.37,-9.4,0.48,7.8785,43.813,-40.035,4,3,0,,0.0,7,57.1,5514.92,14.34,15.7,0.15,1R to TP,,short only
sep 0.5% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.459,5514.92,5.51,0.37,-9.4,0.48,7.8785,43.813,-40.035,4,3,0,,0.0,7,57.1,5514.92,14.34,15.7,0.5,1R to TP,,short only
sep 0.5% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.459,5513.83,5.51,0.37,-9.4,0.48,6.8923,43.813,-30.029,5,3,1,0.0,-1.09,7,57.1,5514.92,14.47,13.9,0.5,1R to TP,,both
sep 3.0% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.459,5514.92,5.51,0.37,-9.4,0.48,7.8785,43.813,-40.035,4,3,0,,0.0,7,57.1,5514.92,14.34,15.7,3.0,1R to TP,,short only
sep 3.0% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.459,5513.83,5.51,0.37,-9.4,0.48,6.8923,43.813,-30.029,5,3,1,0.0,-1.09,7,57.1,5514.92,14.47,13.9,3.0,1R to TP,,both
sep 0.5% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,6,4,2,66.67,1.383,4541.83,4.54,0.3,-11.84,0.35,7.5697,41.033,-59.357,4,2,0,,0.0,6,66.7,4541.83,17.73,22.7,0.5,ATR,3.0,short only
sep 0.15% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,6,4,2,66.67,1.383,4541.83,4.54,0.3,-11.84,0.35,7.5697,41.033,-59.357,4,2,0,,0.0,6,66.7,4541.83,17.73,22.7,0.15,ATR,3.0,short only
sep 1.0% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,6,4,2,66.67,1.383,4541.83,4.54,0.3,-11.84,0.35,7.5697,41.033,-59.357,4,2,0,,0.0,6,66.7,4541.83,17.73,22.7,1.0,ATR,3.0,short only
sep 2.0% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,6,4,2,66.67,1.383,4541.83,4.54,0.3,-11.84,0.35,7.5697,41.033,-59.357,4,2,0,,0.0,6,66.7,4541.83,17.73,22.7,2.0,ATR,3.0,short only
sep 5.0% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,6,4,2,66.67,1.383,4541.83,4.54,0.3,-11.84,0.35,7.5697,41.033,-59.357,4,2,0,,0.0,6,66.7,4541.83,17.73,22.7,5.0,ATR,3.0,short only
