tf,dir,retrace,stop,sep_min,sep_max,is_trades,is_pf,passed_is,oos_fwd_pf,oos_fwd_trades,oos_back_pf,oos_back_trades,pf_wo_best,top1_share,worst_trade_pct
15m,both,0.25,3.0%,0.5,20.0,2916,0.616,False,,,,,,,
15m,both,0.25,3.0%,2.0,0.0,1301,0.741,False,,,,,,,
15m,both,0.25,3.0%,2.0,10.0,1268,0.712,False,,,,,,,
15m,both,0.25,3.0%,2.0,20.0,1299,0.746,False,,,,,,,
15m,both,0.25,5.0%,0.5,0.0,2598,0.615,False,,,,,,,
15m,both,0.25,5.0%,0.5,10.0,2570,0.587,False,,,,,,,
15m,both,0.25,5.0%,0.5,20.0,2596,0.613,False,,,,,,,
15m,both,0.25,5.0%,2.0,0.0,1149,0.757,False,,,,,,,
15m,both,0.25,5.0%,2.0,10.0,1121,0.722,False,,,,,,,
15m,both,0.25,5.0%,2.0,20.0,1147,0.755,False,,,,,,,
15m,both,0.5,1.0xATR,0.5,0.0,4455,0.573,False,,,,,,,
15m,both,0.5,1.0xATR,0.5,10.0,4417,0.558,False,,,,,,,
15m,both,0.5,1.0xATR,0.5,20.0,4453,0.576,False,,,,,,,
15m,both,0.5,1.0xATR,2.0,0.0,2031,0.658,False,,,,,,,
15m,both,0.5,1.0xATR,2.0,10.0,1993,0.639,False,,,,,,,
15m,both,0.5,1.0xATR,2.0,20.0,2029,0.664,False,,,,,,,
15m,both,0.5,2.0xATR,0.5,0.0,3196,0.67,False,,,,,,,
15m,both,0.5,2.0xATR,0.5,10.0,3172,0.656,False,,,,,,,
15m,both,0.5,2.0xATR,0.5,20.0,3200,0.669,False,,,,,,,
15m,both,0.5,2.0xATR,2.0,0.0,1421,0.737,False,,,,,,,
15m,both,0.5,2.0xATR,2.0,10.0,1396,0.718,False,,,,,,,
15m,both,0.5,2.0xATR,2.0,20.0,1423,0.734,False,,,,,,,
15m,both,0.5,3.0xATR,0.5,0.0,2699,0.716,False,,,,,,,
15m,both,0.5,3.0xATR,0.5,10.0,2682,0.705,False,,,,,,,
15m,both,0.5,3.0xATR,0.5,20.0,2701,0.72,False,,,,,,,
15m,both,0.5,3.0xATR,2.0,0.0,1183,0.766,False,,,,,,,
15m,both,0.5,3.0xATR,2.0,10.0,1165,0.752,False,,,,,,,
15m,both,0.5,3.0xATR,2.0,20.0,1184,0.772,False,,,,,,,
15m,both,0.5,3.0%,0.5,0.0,2335,0.71,False,,,,,,,
15m,both,0.5,3.0%,0.5,10.0,2305,0.695,False,,,,,,,
15m,both,0.5,3.0%,0.5,20.0,2333,0.712,False,,,,,,,
15m,both,0.5,3.0%,2.0,0.0,1080,0.782,False,,,,,,,
15m,both,0.5,3.0%,2.0,10.0,1050,0.765,False,,,,,,,
15m,both,0.5,3.0%,2.0,20.0,1078,0.787,False,,,,,,,
15m,both,0.5,5.0%,0.5,0.0,2030,0.714,False,,,,,,,
15m,both,0.5,5.0%,0.5,10.0,2007,0.7,False,,,,,,,
15m,both,0.5,5.0%,0.5,20.0,2028,0.719,False,,,,,,,
15m,both,0.5,5.0%,2.0,0.0,918,0.806,False,,,,,,,
15m,both,0.5,5.0%,2.0,10.0,895,0.791,False,,,,,,,
15m,both,0.5,5.0%,2.0,20.0,916,0.815,False,,,,,,,
15m,both,0.75,1.0xATR,0.5,0.0,4282,0.586,False,,,,,,,
