timeframe,sep_pct,direction,sl_kind,sl_val,is_trades,is_wr,is_pf,is_net,is_avg_pct,oos_trades,oos_wr,oos_pf,oos_net,oos_avg_pct
5m,2.0,short only,Percent,1.5,722,38.78,0.633,-25726.85,-0.3563,193,44.04,0.667,-4971.15,-0.2576
5m,2.0,both,Percent,3.0,1171,51.75,0.657,-49404.93,-0.4217,384,54.43,0.714,-9261.09,-0.2412
5m,2.0,long only,Percent,3.0,613,51.71,0.656,-27780.9,-0.4528,209,57.89,0.732,-4853.73,-0.2322
5m,2.0,short only,Percent,3.0,558,51.79,0.659,-21624.02,-0.3875,175,50.29,0.691,-4407.36,-0.2518
5m,2.0,both,Percent,5.0,997,57.27,0.629,-50547.87,-0.5067,348,55.17,0.774,-6224.62,-0.1789
5m,2.0,long only,Percent,5.0,506,59.09,0.643,-26551.72,-0.5242,190,58.42,0.756,-3925.76,-0.2066
5m,2.0,short only,Percent,5.0,491,55.4,0.612,-23996.15,-0.4887,158,51.27,0.8,-2298.86,-0.1455
5m,2.0,both,Percent,8.0,882,57.71,0.606,-48472.63,-0.5493,329,55.32,0.794,-4964.63,-0.1509
5m,2.0,long only,Percent,8.0,442,61.09,0.616,-25984.09,-0.5873,177,59.32,0.799,-2657.73,-0.1502
5m,2.0,short only,Percent,8.0,440,54.32,0.594,-22488.54,-0.5111,152,50.66,0.787,-2306.9,-0.1518
5m,2.0,both,1R to TP,,1118,51.52,0.621,-54954.95,-0.4913,389,53.47,0.657,-12008.49,-0.3087
5m,2.0,long only,1R to TP,,568,52.99,0.624,-30153.15,-0.5304,215,56.74,0.634,-7687.88,-0.3576
5m,2.0,short only,1R to TP,,550,50.0,0.618,-24801.8,-0.4509,174,49.43,0.691,-4320.61,-0.2483
5m,2.0,both,ATR,1.0,2519,14.57,0.538,-67943.78,-0.2697,781,16.13,0.681,-9189.76,-0.1177
5m,2.0,long only,ATR,1.0,1234,16.21,0.583,-32668.82,-0.2647,430,16.74,0.699,-5050.15,-0.1174
5m,2.0,short only,ATR,1.0,1285,13.0,0.488,-35274.96,-0.2745,351,15.38,0.655,-4139.61,-0.1179
5m,2.0,both,ATR,1.5,2022,22.21,0.592,-62533.88,-0.3091,649,22.19,0.707,-8889.14,-0.137
5m,2.0,long only,ATR,1.5,990,23.74,0.614,-31906.4,-0.322,357,23.81,0.727,-4819.59,-0.135
5m,2.0,short only,ATR,1.5,1032,20.74,0.566,-30627.48,-0.2968,292,20.21,0.679,-4069.55,-0.1394
5m,2.0,both,ATR,2.0,1719,28.62,0.616,-58703.85,-0.3414,557,27.47,0.699,-9390.15,-0.1686
5m,2.0,long only,ATR,2.0,844,29.62,0.617,-31868.26,-0.3773,300,29.67,0.726,-4860.65,-0.162
5m,2.0,short only,ATR,2.0,875,27.66,0.615,-26835.59,-0.3067,257,24.9,0.662,-4529.5,-0.1762
5m,2.0,both,ATR,3.0,1384,39.38,0.622,-57316.14,-0.414,470,36.6,0.685,-10404.02,-0.2214
5m,2.0,long only,ATR,3.0,682,41.64,0.639,-29511.75,-0.4324,250,39.6,0.698,-5653.54,-0.2261
5m,2.0,short only,ATR,3.0,702,37.18,0.603,-27804.39,-0.3961,220,33.18,0.669,-4750.49,-0.2159
5m,2.0,both,ATR,4.0,1235,46.48,0.626,-56031.31,-0.4535,434,43.09,0.659,-11894.83,-0.2741
5m,2.0,long only,ATR,4.0,610,48.03,0.631,-29805.3,-0.4882,231,46.32,0.661,-6733.96,-0.2915
5m,2.0,short only,ATR,4.0,625,44.96,0.621,-26226.01,-0.4196,203,39.41,0.657,-5160.87,-0.2542
5m,3.0,both,Percent,0.625,1131,13.79,0.575,-31664.28,-0.28,220,20.45,0.666,-4269.42,-0.1941
5m,3.0,long only,Percent,0.625,638,13.95,0.591,-17295.98,-0.2711,131,17.56,0.532,-3694.42,-0.282
5m,3.0,short only,Percent,0.625,493,13.59,0.553,-14368.3,-0.2914,89,24.72,0.883,-575.0,-0.0646
5m,3.0,both,Percent,1.5,807,28.62,0.597,-37394.94,-0.4634,165,37.58,0.653,-5635.04,-0.3415
5m,3.0,long only,Percent,1.5,466,26.18,0.569,-24042.19,-0.5159,94,37.23,0.669,-3090.45,-0.3288
5m,3.0,short only,Percent,1.5,341,31.96,0.638,-13352.75,-0.3916,71,38.03,0.633,-2544.59,-0.3584
5m,3.0,both,Percent,3.0,623,44.3,0.588,-40300.71,-0.6469,144,52.78,0.717,-4541.19,-0.3154
5m,3.0,long only,Percent,3.0,357,42.58,0.566,-25920.94,-0.7261,82,53.66,0.754,-2261.38,-0.2758
5m,3.0,short only,Percent,3.0,266,46.62,0.621,-14379.76,-0.5406,62,51.61,0.666,-2279.81,-0.3677
5m,3.0,both,Percent,5.0,534,53.0,0.582,-39136.0,-0.7329,133,56.39,0.803,-2744.14,-0.2063
5m,3.0,long only,Percent,5.0,296,52.7,0.553,-25969.67,-0.8774,77,58.44,0.718,-2705.51,-0.3514
5m,3.0,short only,Percent,5.0,238,53.36,0.631,-13166.33,-0.5532,56,53.57,0.991,-38.63,-0.0069
5m,3.0,both,Percent,8.0,467,53.96,0.552,-38257.08,-0.8192,124,56.45,0.825,-2027.16,-0.1635
5m,3.0,long only,Percent,8.0,251,54.18,0.529,-24177.73,-0.9633,69,59.42,0.765,-1725.65,-0.2501
5m,3.0,short only,Percent,8.0,216,53.7,0.588,-14079.35,-0.6518,55,52.73,0.929,-301.51,-0.0548
5m,3.0,both,1R to TP,,556,50.0,0.575,-40565.97,-0.7296,138,54.35,0.688,-5043.25,-0.3655
5m,3.0,long only,1R to TP,,306,50.33,0.555,-25496.45,-0.8332,79,54.43,0.623,-3960.62,-0.5013
5m,3.0,short only,1R to TP,,250,49.6,0.604,-15069.52,-0.6028,59,54.24,0.808,-1082.63,-0.1835
5m,3.0,both,ATR,1.0,1142,13.4,0.558,-36176.64,-0.3168,268,13.43,0.655,-4217.88,-0.1574
5m,3.0,long only,ATR,1.0,621,14.65,0.581,-20541.15,-0.3308,141,14.89,0.68,-2306.29,-0.1636
5m,3.0,short only,ATR,1.0,521,11.9,0.524,-15635.5,-0.3001,127,11.81,0.619,-1911.6,-0.1505
5m,3.0,both,ATR,1.5,938,19.19,0.574,-38038.34,-0.4055,218,21.56,0.766,-2904.75,-0.1332
5m,3.0,long only,ATR,1.5,515,20.78,0.582,-22608.98,-0.439,120,23.33,0.763,-1786.01,-0.1488
5m,3.0,short only,ATR,1.5,423,17.26,0.561,-15429.35,-0.3648,98,19.39,0.77,-1118.74,-0.1142
5m,3.0,both,ATR,2.0,802,25.56,0.602,-35669.54,-0.4448,192,27.08,0.774,-2991.55,-0.1558
5m,3.0,long only,ATR,2.0,440,26.59,0.591,-22278.64,-0.5063,104,29.81,0.774,-1766.39,-0.1698
5m,3.0,short only,ATR,2.0,362,24.31,0.619,-13390.89,-0.3699,88,23.86,0.773,-1225.16,-0.1392
