timeframe,sep_pct,direction,sl_kind,sl_val,is_trades,is_wr,is_pf,is_net,is_avg_pct,oos_trades,oos_wr,oos_pf,oos_net,oos_avg_pct
1h,0.5,short only,Percent,8.0,271,61.62,0.506,-31639.79,-1.1675,203,69.95,0.978,-398.68,-0.0196
1h,0.5,both,1R to TP,,635,47.56,0.678,-32844.69,-0.5172,578,53.11,0.947,-2580.67,-0.0446
1h,0.5,long only,1R to TP,,286,51.05,0.868,-5356.32,-0.1873,295,53.22,0.991,-227.62,-0.0077
1h,0.5,short only,1R to TP,,349,44.7,0.552,-27488.37,-0.7876,283,53.0,0.902,-2353.04,-0.0831
1h,0.5,both,ATR,1.0,1114,26.75,0.702,-30659.93,-0.2752,1051,27.88,0.783,-12532.19,-0.1192
1h,0.5,long only,ATR,1.0,466,31.97,0.848,-6482.13,-0.1391,520,29.81,0.851,-4343.9,-0.0835
1h,0.5,short only,ATR,1.0,648,22.99,0.598,-24177.8,-0.3731,531,25.99,0.713,-8188.29,-0.1542
1h,0.5,both,ATR,1.5,919,34.71,0.707,-31525.01,-0.343,866,36.84,0.831,-10039.91,-0.1159
1h,0.5,long only,ATR,1.5,392,39.8,0.86,-6231.29,-0.159,433,37.41,0.867,-4061.98,-0.0938
1h,0.5,short only,ATR,1.5,527,30.93,0.6,-25293.72,-0.48,433,36.26,0.793,-5977.93,-0.1381
1h,0.5,both,ATR,2.0,799,41.18,0.715,-30389.94,-0.3803,748,45.05,0.889,-6400.02,-0.0856
1h,0.5,long only,ATR,2.0,352,45.17,0.852,-6753.28,-0.1919,379,45.12,0.902,-2938.89,-0.0775
1h,0.5,short only,ATR,2.0,447,38.03,0.614,-23636.66,-0.5288,369,44.99,0.874,-3461.13,-0.0938
1h,0.5,both,ATR,3.0,662,50.15,0.678,-35133.71,-0.5307,611,55.48,0.923,-4158.64,-0.0681
1h,0.5,long only,ATR,3.0,296,55.07,0.815,-8552.74,-0.2889,307,56.35,0.936,-1810.74,-0.059
1h,0.5,short only,ATR,3.0,366,46.17,0.577,-26580.98,-0.7263,304,54.61,0.909,-2347.9,-0.0772
1h,0.5,both,ATR,4.0,607,55.35,0.617,-43988.01,-0.7247,553,60.4,0.892,-5871.42,-0.1062
1h,0.5,long only,ATR,4.0,269,60.59,0.79,-9782.39,-0.3637,276,61.23,0.903,-2709.02,-0.0982
1h,0.5,short only,ATR,4.0,338,51.18,0.499,-34205.62,-1.012,277,59.57,0.88,-3162.4,-0.1142
1h,1.0,both,Percent,0.625,1169,15.57,0.566,-32127.56,-0.2748,862,24.48,0.778,-10438.6,-0.1211
1h,1.0,long only,Percent,0.625,488,17.42,0.626,-11236.02,-0.2302,430,23.26,0.734,-6347.35,-0.1476
1h,1.0,short only,Percent,0.625,681,14.24,0.525,-20891.54,-0.3068,432,25.69,0.823,-4091.25,-0.0947
1h,1.0,both,Percent,1.5,869,30.03,0.701,-28807.05,-0.3315,580,45.52,0.971,-1422.92,-0.0245
1h,1.0,long only,Percent,1.5,384,31.51,0.759,-9942.73,-0.2589,294,45.24,0.993,-190.23,-0.0065
1h,1.0,short only,Percent,1.5,485,28.87,0.657,-18864.32,-0.389,286,45.8,0.949,-1232.68,-0.0431
1h,1.0,both,Percent,3.0,653,43.64,0.678,-35091.26,-0.5374,440,60.91,0.945,-2706.3,-0.0615
1h,1.0,long only,Percent,3.0,298,45.3,0.765,-11226.84,-0.3767,215,62.33,1.014,342.15,0.0159
1h,1.0,short only,Percent,3.0,355,42.25,0.609,-23864.42,-0.6722,225,59.56,0.878,-3048.45,-0.1355
1h,1.0,both,Percent,5.0,516,56.2,0.691,-32860.24,-0.6312,365,70.14,0.987,-579.16,-0.0159
1h,1.0,long only,Percent,5.0,229,60.26,0.896,-4632.29,-0.1895,178,70.22,1.053,1126.02,0.0633
1h,1.0,short only,Percent,5.0,287,52.96,0.556,-28227.95,-0.9836,187,70.05,0.922,-1705.18,-0.0912
1h,1.0,both,Percent,8.0,434,64.06,0.664,-34081.75,-0.7786,318,74.21,1.18,5839.33,0.1836
1h,1.0,long only,Percent,8.0,195,67.69,0.909,-3786.61,-0.1792,157,75.8,1.186,3269.78,0.2083
1h,1.0,short only,Percent,8.0,239,61.09,0.513,-30295.14,-1.2676,161,72.67,1.173,2569.55,0.1596
1h,1.0,both,1R to TP,,535,50.65,0.69,-30533.07,-0.5707,428,57.01,0.973,-1185.5,-0.0277
1h,1.0,long only,1R to TP,,239,53.56,0.881,-4662.06,-0.1951,214,56.07,1.003,59.38,0.0028
1h,1.0,short only,1R to TP,,296,48.31,0.564,-25871.01,-0.874,214,57.94,0.942,-1244.89,-0.0582
1h,1.0,both,ATR,1.0,1007,25.42,0.716,-28089.09,-0.2789,868,25.58,0.807,-10057.66,-0.1159
1h,1.0,long only,ATR,1.0,417,30.22,0.859,-5812.43,-0.1394,420,26.9,0.861,-3672.9,-0.0874
1h,1.0,short only,ATR,1.0,590,22.03,0.614,-22276.65,-0.3776,448,24.33,0.75,-6384.76,-0.1425
1h,1.0,both,ATR,1.5,821,33.13,0.72,-28978.35,-0.353,704,34.66,0.869,-7006.15,-0.0995
1h,1.0,long only,ATR,1.5,346,37.86,0.866,-5741.9,-0.166,343,34.69,0.887,-3132.58,-0.0913
1h,1.0,short only,ATR,1.5,475,29.68,0.616,-23236.45,-0.4892,361,34.63,0.849,-3873.57,-0.1073
1h,1.0,both,ATR,2.0,705,39.72,0.731,-27548.06,-0.3908,604,43.21,0.925,-3911.6,-0.0648
1h,1.0,long only,ATR,2.0,307,43.32,0.861,-6114.37,-0.1992,298,43.29,0.926,-2002.18,-0.0672
1h,1.0,short only,ATR,2.0,398,36.93,0.632,-21433.69,-0.5385,306,43.14,0.923,-1909.43,-0.0624
1h,1.0,both,ATR,3.0,578,49.31,0.696,-31689.92,-0.5483,485,54.85,0.969,-1486.49,-0.0306
1h,1.0,long only,ATR,3.0,255,53.73,0.825,-7815.67,-0.3065,237,55.7,0.96,-1042.94,-0.044
1h,1.0,short only,ATR,3.0,323,45.82,0.598,-23874.25,-0.7391,248,54.03,0.981,-443.55,-0.0179
1h,1.0,both,ATR,4.0,528,54.36,0.629,-40982.56,-0.7762,436,61.01,0.946,-2639.87,-0.0605
1h,1.0,long only,ATR,4.0,230,59.57,0.795,-9272.1,-0.4031,209,62.2,0.948,-1301.07,-0.0623
1h,1.0,short only,ATR,4.0,298,50.34,0.514,-31710.45,-1.0641,227,59.91,0.944,-1338.8,-0.059
1h,2.0,both,Percent,0.625,989,12.44,0.555,-29227.9,-0.2955,585,17.78,0.748,-8806.1,-0.1505
1h,2.0,long only,Percent,0.625,406,14.78,0.621,-9935.33,-0.2447,285,16.84,0.701,-5142.87,-0.1805
1h,2.0,short only,Percent,0.625,583,10.81,0.511,-19292.57,-0.3309,300,18.67,0.794,-3663.24,-0.1221
1h,2.0,both,Percent,1.5,737,25.24,0.681,-28449.22,-0.386,397,36.27,0.93,-2816.31,-0.0709
1h,2.0,long only,Percent,1.5,326,26.69,0.726,-10623.99,-0.3259,204,36.76,0.964,-736.1,-0.0361
1h,2.0,short only,Percent,1.5,411,24.09,0.646,-17825.23,-0.4337,193,35.75,0.894,-2080.21,-0.1078
1h,2.0,both,Percent,3.0,542,39.11,0.668,-33577.24,-0.6195,298,53.36,0.894,-4449.05,-0.1493
1h,2.0,long only,Percent,3.0,247,42.11,0.765,-10389.51,-0.4206,147,53.74,0.947,-1122.25,-0.0763
1h,2.0,short only,Percent,3.0,295,36.61,0.593,-23187.72,-0.786,151,52.98,0.84,-3326.79,-0.2203
1h,2.0,both,Percent,5.0,417,52.04,0.691,-30325.19,-0.7202,242,64.46,0.945,-1999.82,-0.0826
1h,2.0,long only,Percent,5.0,188,57.45,0.897,-4324.57,-0.2145,121,63.64,0.992,-155.74,-0.0129
1h,2.0,short only,Percent,5.0,229,47.6,0.552,-26000.62,-1.1354,121,65.29,0.897,-1844.08,-0.1524
1h,2.0,both,Percent,8.0,345,62.03,0.668,-31380.73,-0.9011,208,70.67,1.105,3026.14,0.1455
1h,2.0,long only,Percent,8.0,156,66.67,0.923,-3017.73,-0.1747,106,70.75,1.064,1056.28,0.0996
1h,2.0,short only,Percent,8.0,189,58.2,0.512,-28363.0,-1.5007,102,70.59,1.161,1969.86,0.1931
1h,2.0,both,1R to TP,,400,51.25,0.671,-30205.69,-0.7551,256,57.42,0.939,-2210.31,-0.0863
1h,2.0,long only,1R to TP,,180,54.44,0.86,-5127.17,-0.2848,126,57.94,0.997,-50.1,-0.004
1h,2.0,short only,1R to TP,,220,48.64,0.545,-25078.53,-1.1399,130,56.92,0.88,-2160.21,-0.1662
1h,2.0,both,ATR,1.0,833,21.85,0.703,-27037.61,-0.3246,574,20.38,0.784,-8689.86,-0.1514
1h,2.0,long only,ATR,1.0,339,27.14,0.842,-6015.32,-0.1774,272,22.79,0.867,-2660.15,-0.0978
1h,2.0,short only,ATR,1.0,494,18.22,0.603,-21022.28,-0.4256,302,18.21,0.7,-6029.71,-0.1997
1h,2.0,both,ATR,1.5,673,29.72,0.713,-27432.61,-0.4076,471,28.24,0.839,-6861.6,-0.1457
1h,2.0,long only,ATR,1.5,280,35.0,0.859,-5599.13,-0.2,226,30.09,0.89,-2391.37,-0.1058
1h,2.0,short only,ATR,1.5,393,25.95,0.608,-21833.47,-0.5556,245,26.53,0.787,-4470.23,-0.1825
1h,2.0,both,ATR,2.0,571,36.25,0.726,-25779.03,-0.4515,393,35.88,0.878,-5109.52,-0.13
1h,2.0,long only,ATR,2.0,247,40.49,0.856,-5832.17,-0.2361,193,38.34,0.92,-1703.49,-0.0883
1h,2.0,short only,ATR,2.0,324,33.02,0.627,-19946.86,-0.6156,200,33.5,0.835,-3406.03,-0.1703
1h,2.0,both,ATR,3.0,461,46.2,0.691,-29753.97,-0.6454,318,48.11,0.91,-3661.31,-0.1151
1h,2.0,long only,ATR,3.0,202,51.98,0.83,-6984.6,-0.3458,156,50.0,0.914,-1840.55,-0.118
1h,2.0,short only,ATR,3.0,259,41.7,0.589,-22769.38,-0.8791,162,46.3,0.906,-1820.76,-0.1124
1h,2.0,both,ATR,4.0,419,51.79,0.628,-38051.79,-0.9082,288,54.86,0.881,-5006.65,-0.1738
1h,2.0,long only,ATR,4.0,184,58.7,0.802,-8345.7,-0.4536,141,55.32,0.863,-3057.2,-0.2168
1h,2.0,short only,ATR,4.0,235,46.38,0.506,-29706.1,-1.2641,147,54.42,0.901,-1949.44,-0.1326
1h,3.0,both,Percent,0.625,775,9.03,0.516,-25997.38,-0.3355,386,13.47,0.702,-7251.06,-0.1879
1h,3.0,long only,Percent,0.625,315,10.48,0.556,-9545.53,-0.303,190,11.58,0.639,-4421.94,-0.2327
1h,3.0,short only,Percent,0.625,460,8.04,0.489,-16451.85,-0.3576,196,15.31,0.765,-2829.13,-0.1443
1h,3.0,both,Percent,1.5,595,20.17,0.643,-27667.38,-0.465,275,32.36,0.957,-1262.68,-0.0459
1h,3.0,long only,Percent,1.5,258,22.09,0.713,-9431.72,-0.3656,137,29.93,0.935,-1005.94,-0.0734
1h,3.0,short only,Percent,1.5,337,18.69,0.591,-18235.66,-0.5411,138,34.78,0.982,-256.75,-0.0186
1h,3.0,both,Percent,3.0,432,33.33,0.636,-32488.16,-0.752,212,47.64,0.883,-3896.51,-0.1838
1h,3.0,long only,Percent,3.0,190,36.84,0.763,-8893.33,-0.4681,101,47.52,0.938,-1020.99,-0.1011
1h,3.0,short only,Percent,3.0,242,30.58,0.543,-23594.83,-0.975,111,47.75,0.829,-2875.52,-0.2591
1h,3.0,both,Percent,5.0,324,47.22,0.672,-28220.04,-0.862,172,59.3,0.929,-2099.16,-0.122
1h,3.0,long only,Percent,5.0,141,53.19,0.908,-3367.23,-0.2181,82,56.1,0.931,-1068.07,-0.1303
1h,3.0,short only,Percent,5.0,183,42.62,0.52,-24852.81,-1.3581,90,62.22,0.927,-1031.09,-0.1146
1h,3.0,both,Percent,8.0,263,57.79,0.66,-27652.72,-1.0403,148,66.89,1.052,1267.0,0.0856
1h,3.0,long only,Percent,8.0,115,61.74,0.931,-2365.96,-0.1804,72,65.28,0.959,-587.81,-0.0816
1h,3.0,short only,Percent,8.0,148,54.73,0.501,-25286.76,-1.7086,76,68.42,1.183,1854.81,0.2441
1h,3.0,both,1R to TP,,292,50.34,0.626,-30760.4,-1.0534,167,56.29,0.922,-2227.68,-0.1334
1h,3.0,long only,1R to TP,,123,56.1,0.857,-4457.54,-0.3624,77,55.84,0.985,-205.93,-0.0267
1h,3.0,short only,1R to TP,,169,46.15,0.486,-26302.86,-1.5564,90,56.67,0.861,-2021.74,-0.2246
1h,3.0,both,ATR,1.0,640,18.28,0.674,-25486.68,-0.3982,368,17.39,0.756,-7121.81,-0.1935
1h,3.0,long only,ATR,1.0,254,24.41,0.843,-5040.36,-0.1984,174,18.97,0.822,-2695.3,-0.1549
1h,3.0,short only,ATR,1.0,386,14.25,0.556,-20446.32,-0.5297,194,15.98,0.684,-4426.51,-0.2282
1h,3.0,both,ATR,1.5,513,25.15,0.67,-27333.65,-0.5328,305,26.23,0.857,-4425.39,-0.1451
1h,3.0,long only,ATR,1.5,206,31.55,0.852,-4934.9,-0.2396,146,28.08,0.9,-1631.74,-0.1118
1h,3.0,short only,ATR,1.5,307,20.85,0.546,-22398.75,-0.7296,159,24.53,0.81,-2793.65,-0.1757
1h,3.0,both,ATR,2.0,435,31.03,0.679,-26505.25,-0.6093,260,33.46,0.884,-3629.17,-0.1396
1h,3.0,long only,ATR,2.0,181,37.02,0.853,-5060.44,-0.2796,123,35.77,0.913,-1403.94,-0.1141
1h,3.0,short only,ATR,2.0,254,26.77,0.555,-21444.81,-0.8443,137,31.39,0.854,-2225.22,-0.1624
1h,3.0,both,ATR,3.0,347,41.21,0.653,-29498.94,-0.8501,219,42.92,0.862,-4553.28,-0.2079
1h,3.0,long only,ATR,3.0,146,49.32,0.834,-5793.01,-0.3968,103,43.69,0.835,-2950.96,-0.2865
1h,3.0,short only,ATR,3.0,201,35.32,0.527,-23705.93,-1.1794,116,42.24,0.894,-1602.32,-0.1381
1h,3.0,both,ATR,4.0,316,47.15,0.596,-36416.85,-1.1524,201,49.75,0.821,-6233.86,-0.3101
1h,3.0,long only,ATR,4.0,132,55.3,0.803,-7041.2,-0.5334,95,48.42,0.759,-4649.83,-0.4895
1h,3.0,short only,ATR,4.0,184,41.3,0.46,-29375.65,-1.5965,106,50.94,0.899,-1584.03,-0.1494
1h,5.0,both,Percent,0.625,474,6.12,0.481,-17509.27,-0.3694,159,8.18,0.606,-4203.33,-0.2644
1h,5.0,long only,Percent,0.625,205,6.34,0.448,-8067.73,-0.3935,84,8.33,0.668,-1866.37,-0.2222
1h,5.0,short only,Percent,0.625,269,5.95,0.507,-9441.54,-0.351,75,8.0,0.536,-2336.96,-0.3116
1h,5.0,both,Percent,1.5,388,14.69,0.621,-20464.7,-0.5274,115,21.74,0.804,-2829.97,-0.2461
1h,5.0,long only,Percent,1.5,176,15.34,0.654,-8439.96,-0.4795,61,22.95,0.923,-579.32,-0.095
1h,5.0,short only,Percent,1.5,212,14.15,0.595,-12024.74,-0.5672,54,20.37,0.674,-2250.65,-0.4168
1h,5.0,both,Percent,3.0,291,25.77,0.6,-26970.91,-0.9268,93,32.26,0.651,-6721.8,-0.7228
1h,5.0,long only,Percent,3.0,131,28.24,0.703,-8747.42,-0.6677,48,35.42,0.815,-1776.69,-0.3701
1h,5.0,short only,Percent,3.0,160,23.75,0.521,-18223.49,-1.139,45,28.89,0.487,-4945.11,-1.0989
1h,5.0,both,Percent,5.0,226,36.73,0.587,-29720.5,-1.3151,78,46.15,0.704,-5533.23,-0.7094
1h,5.0,long only,Percent,5.0,99,41.41,0.774,-6608.24,-0.6675,41,48.78,0.893,-999.0,-0.2437
1h,5.0,short only,Percent,5.0,127,33.07,0.459,-23112.26,-1.8199,37,43.24,0.518,-4534.23,-1.2255
1h,5.0,both,Percent,8.0,185,49.73,0.592,-27928.12,-1.5096,65,55.38,0.868,-1991.47,-0.3064
1h,5.0,long only,Percent,8.0,81,53.09,0.814,-4928.93,-0.6085,34,58.82,0.977,-191.5,-0.0563
1h,5.0,short only,Percent,8.0,104,47.12,0.451,-22999.18,-2.2115,31,51.61,0.728,-1799.96,-0.5806
1h,5.0,both,1R to TP,,181,48.07,0.57,-28541.73,-1.5769,67,52.24,0.75,-4143.28,-0.6184
1h,5.0,long only,1R to TP,,76,55.26,0.822,-4373.71,-0.5755,35,54.29,0.93,-586.52,-0.1676
1h,5.0,short only,1R to TP,,105,42.86,0.423,-24168.03,-2.3017,32,50.0,0.568,-3556.76,-1.1115
1h,5.0,both,ATR,1.0,384,16.15,0.687,-17252.63,-0.4493,148,13.51,0.707,-4222.54,-0.2853
1h,5.0,long only,ATR,1.0,162,20.37,0.809,-4680.86,-0.2889,74,17.57,0.862,-1086.12,-0.1468
1h,5.0,short only,ATR,1.0,222,13.06,0.59,-12571.76,-0.5663,74,9.46,0.522,-3136.42,-0.4238
1h,5.0,both,ATR,1.5,317,22.4,0.676,-19579.54,-0.6177,119,20.17,0.734,-4186.68,-0.3518
1h,5.0,long only,ATR,1.5,134,26.87,0.821,-4668.22,-0.3484,61,24.59,0.838,-1423.47,-0.2334
1h,5.0,short only,ATR,1.5,183,19.13,0.566,-14911.32,-0.8148,58,15.52,0.604,-2763.21,-0.4764
1h,5.0,both,ATR,2.0,274,27.37,0.667,-20647.79,-0.7536,105,23.81,0.676,-5535.11,-0.5272
1h,5.0,long only,ATR,2.0,118,31.36,0.808,-5203.95,-0.441,53,30.19,0.805,-1781.66,-0.3362
1h,5.0,short only,ATR,2.0,156,24.36,0.557,-15443.83,-0.99,52,17.31,0.529,-3753.45,-0.7218
1h,5.0,both,ATR,3.0,227,35.24,0.586,-28668.97,-1.263,86,32.56,0.653,-6505.26,-0.7564
1h,5.0,long only,ATR,3.0,98,40.82,0.712,-8720.53,-0.8899,45,37.78,0.755,-2553.18,-0.5674
1h,5.0,short only,ATR,3.0,129,31.01,0.49,-19948.44,-1.5464,41,26.83,0.526,-3952.07,-0.9639
1h,5.0,both,ATR,4.0,207,41.55,0.536,-34511.87,-1.6672,80,37.5,0.57,-9159.6,-1.1449
1h,5.0,long only,ATR,4.0,88,48.86,0.711,-8768.64,-0.9964,42,40.48,0.621,-4647.5,-1.1065
1h,5.0,short only,ATR,4.0,119,36.13,0.414,-25743.23,-2.1633,38,34.21,0.5,-4512.1,-1.1874
4h,0.15,both,Percent,0.625,337,11.28,0.665,-6981.53,-0.2072,359,19.22,0.734,-5146.85,-0.1449
4h,0.15,long only,Percent,0.625,158,13.29,0.961,-375.23,-0.0237,183,19.13,0.678,-3216.03,-0.1757
4h,0.15,short only,Percent,0.625,179,9.5,0.416,-6606.3,-0.3691,176,19.32,0.793,-1930.82,-0.1128
4h,0.15,both,Percent,1.5,291,23.71,0.863,-4467.86,-0.1535,300,30.67,0.723,-8210.46,-0.2765
4h,0.15,long only,Percent,1.5,133,24.81,0.864,-2000.96,-0.1504,154,33.77,0.807,-2837.98,-0.1843
4h,0.15,short only,Percent,1.5,158,22.78,0.862,-2466.9,-0.1561,146,27.4,0.641,-5372.49,-0.3737
4h,0.15,both,Percent,3.0,242,34.3,0.939,-2576.96,-0.1065,240,42.92,0.679,-11460.69,-0.481
4h,0.15,long only,Percent,3.0,112,36.61,1.011,209.37,0.0187,126,45.24,0.733,-4829.26,-0.3833
4h,0.15,short only,Percent,3.0,130,32.31,0.881,-2786.33,-0.2143,114,40.35,0.623,-6631.42,-0.589
4h,0.15,both,Percent,5.0,200,41.5,0.87,-6125.01,-0.3063,196,53.57,0.735,-9188.08,-0.473
4h,0.15,long only,Percent,5.0,92,44.57,0.958,-858.54,-0.0933,104,55.77,0.751,-4479.93,-0.4308
4h,0.15,short only,Percent,5.0,108,38.89,0.801,-5266.46,-0.4876,92,51.09,0.718,-4708.15,-0.5208
4h,0.15,both,Percent,8.0,177,48.59,0.809,-10203.16,-0.5764,167,61.68,0.739,-8457.43,-0.5019
4h,0.15,long only,Percent,8.0,80,53.75,0.943,-1205.53,-0.1507,88,64.77,0.789,-3329.64,-0.3784
4h,0.15,short only,Percent,8.0,97,44.33,0.718,-8997.62,-0.9276,79,58.23,0.691,-5127.79,-0.6395
4h,0.15,both,1R to TP,,172,41.86,0.841,-7233.91,-0.4206,190,49.47,0.926,-1989.77,-0.1008
4h,0.15,long only,1R to TP,,84,40.48,0.933,-1213.25,-0.1444,103,47.57,1.039,453.29,0.044
4h,0.15,short only,1R to TP,,88,43.18,0.78,-6020.67,-0.6842,87,51.72,0.833,-2443.06,-0.2721
4h,0.15,both,ATR,1.0,254,30.31,0.993,-262.92,-0.0104,315,29.52,0.702,-9229.91,-0.2947
4h,0.15,long only,ATR,1.0,118,32.2,1.132,2252.7,0.1909,158,34.18,0.801,-3074.43,-0.1946
4h,0.15,short only,ATR,1.0,136,28.68,0.889,-2515.62,-0.185,157,24.84,0.606,-6155.48,-0.3955
4h,0.15,both,ATR,1.5,221,36.65,0.979,-932.69,-0.0422,274,37.59,0.745,-8742.06,-0.3221
4h,0.15,long only,ATR,1.5,103,37.86,1.016,307.0,0.0298,140,40.71,0.764,-4228.72,-0.3021
4h,0.15,short only,ATR,1.5,118,35.59,0.949,-1239.69,-0.1051,134,34.33,0.725,-4513.35,-0.343
4h,0.15,both,ATR,2.0,205,41.46,0.856,-7365.32,-0.3593,240,43.33,0.718,-9832.26,-0.4132
4h,0.15,long only,ATR,2.0,94,43.62,0.923,-1697.49,-0.1806,124,46.77,0.774,-4033.8,-0.3253
4h,0.15,short only,ATR,2.0,111,39.64,0.805,-5667.82,-0.5106,116,39.66,0.661,-5798.46,-0.5071
4h,0.15,both,ATR,3.0,172,50.58,0.871,-6341.73,-0.3687,197,53.3,0.839,-4869.21,-0.2514
4h,0.15,long only,ATR,3.0,81,54.32,0.915,-1865.11,-0.2303,102,56.86,0.89,-1685.45,-0.1652
4h,0.15,short only,ATR,3.0,91,47.25,0.837,-4476.62,-0.4919,95,49.47,0.79,-3183.76,-0.3439
4h,0.15,both,ATR,4.0,165,52.73,0.716,-16115.61,-0.9767,180,57.78,0.807,-5857.64,-0.3301
4h,0.15,long only,ATR,4.0,77,57.14,0.763,-5921.7,-0.7691,92,61.96,0.93,-970.59,-0.1055
4h,0.15,short only,ATR,4.0,88,48.86,0.68,-10193.91,-1.1584,88,53.41,0.707,-4887.06,-0.5648
4h,0.5,both,Percent,0.625,322,11.49,0.669,-6864.94,-0.2132,342,18.42,0.735,-5110.95,-0.151
4h,0.5,long only,Percent,0.625,153,13.73,0.964,-342.12,-0.0224,175,17.71,0.677,-3209.64,-0.1834
4h,0.5,short only,Percent,0.625,169,9.47,0.419,-6522.82,-0.386,167,19.16,0.795,-1901.32,-0.1171
4h,0.5,both,Percent,1.5,276,24.64,0.866,-4351.26,-0.1577,283,30.39,0.723,-8174.57,-0.2918
4h,0.5,long only,Percent,1.5,128,25.78,0.866,-1967.84,-0.1537,146,32.88,0.807,-2831.59,-0.1939
4h,0.5,short only,Percent,1.5,148,23.65,0.866,-2383.42,-0.161,137,27.74,0.642,-5342.98,-0.3961
4h,0.5,both,Percent,3.0,226,35.84,0.942,-2477.07,-0.1096,223,43.5,0.679,-11424.79,-0.5161
4h,0.5,long only,Percent,3.0,106,37.74,1.012,225.77,0.0213,118,44.92,0.733,-4822.87,-0.4087
4h,0.5,short only,Percent,3.0,120,34.17,0.884,-2702.85,-0.2252,105,41.9,0.623,-6601.92,-0.6367
4h,0.5,both,Percent,5.0,184,44.02,0.871,-6025.11,-0.3275,180,55.0,0.735,-9164.23,-0.5138
4h,0.5,long only,Percent,5.0,86,46.51,0.959,-842.13,-0.0979,97,55.67,0.75,-4485.59,-0.4624
4h,0.5,short only,Percent,5.0,98,41.84,0.803,-5182.98,-0.5289,83,54.22,0.718,-4678.64,-0.5737
4h,0.5,both,Percent,8.0,161,52.17,0.81,-10103.26,-0.6275,152,63.82,0.739,-8445.73,-0.5507
4h,0.5,long only,Percent,8.0,74,56.76,0.944,-1189.12,-0.1607,82,64.63,0.787,-3347.45,-0.4082
4h,0.5,short only,Percent,8.0,87,48.28,0.72,-8914.14,-1.0246,70,62.86,0.692,-5098.28,-0.7176
4h,0.5,both,1R to TP,,156,45.51,0.844,-7030.27,-0.4507,174,50.57,0.927,-1952.44,-0.1079
4h,0.5,long only,1R to TP,,78,43.59,0.939,-1100.12,-0.141,96,46.88,1.039,447.53,0.0466
4h,0.5,short only,1R to TP,,78,47.44,0.782,-5930.16,-0.7603,78,55.13,0.835,-2399.97,-0.298
4h,0.5,both,ATR,1.0,239,31.8,0.996,-146.33,-0.0061,298,29.19,0.703,-9194.02,-0.3104
4h,0.5,long only,ATR,1.0,113,33.63,1.134,2285.81,0.2023,150,33.33,0.801,-3068.04,-0.2045
4h,0.5,short only,ATR,1.0,126,30.16,0.892,-2432.14,-0.193,148,25.0,0.606,-6125.98,-0.4176
4h,0.5,both,ATR,1.5,206,38.83,0.981,-816.09,-0.0396,257,37.74,0.745,-8706.17,-0.342
4h,0.5,long only,ATR,1.5,98,39.8,1.017,340.12,0.0347,132,40.15,0.764,-4222.33,-0.3199
4h,0.5,short only,ATR,1.5,108,37.96,0.953,-1156.21,-0.1071,125,35.2,0.726,-4483.84,-0.3654
4h,0.5,both,ATR,2.0,190,44.21,0.858,-7248.72,-0.3815,223,43.95,0.718,-9796.36,-0.443
4h,0.5,long only,ATR,2.0,89,46.07,0.924,-1664.38,-0.187,116,46.55,0.774,-4027.41,-0.3472
4h,0.5,short only,ATR,2.0,101,42.57,0.808,-5584.34,-0.5529,107,41.12,0.662,-5768.95,-0.5469
4h,0.5,both,ATR,3.0,156,54.49,0.873,-6241.84,-0.4001,181,54.7,0.84,-4845.47,-0.2723
4h,0.5,long only,ATR,3.0,75,57.33,0.915,-1848.7,-0.2465,95,56.84,0.889,-1691.21,-0.178
4h,0.5,short only,ATR,3.0,81,51.85,0.839,-4393.14,-0.5424,86,52.33,0.791,-3154.26,-0.3765
4h,0.5,both,ATR,4.0,149,57.05,0.717,-16015.71,-1.0749,165,59.39,0.807,-5845.95,-0.3594
4h,0.5,long only,ATR,4.0,71,60.56,0.763,-5905.29,-0.8317,86,61.63,0.928,-988.4,-0.1149
4h,0.5,short only,ATR,4.0,78,53.85,0.682,-10110.42,-1.2962,79,56.96,0.708,-4857.55,-0.6254
4h,1.0,both,Percent,0.625,302,10.6,0.682,-6377.86,-0.2112,318,16.35,0.727,-5117.09,-0.1626
4h,1.0,long only,Percent,0.625,143,13.29,1.001,8.32,0.0006,158,15.19,0.673,-3117.56,-0.1973
4h,1.0,short only,Percent,0.625,159,8.18,0.417,-6386.19,-0.4016,160,17.5,0.783,-1999.53,-0.1284
4h,1.0,both,Percent,1.5,259,22.39,0.866,-4294.34,-0.1658,261,28.35,0.721,-8035.6,-0.3111
4h,1.0,long only,Percent,1.5,120,23.33,0.869,-1900.33,-0.1584,131,30.53,0.81,-2681.95,-0.2047
4h,1.0,short only,Percent,1.5,139,21.58,0.863,-2394.01,-0.1722,130,26.15,0.637,-5353.65,-0.4182
4h,1.0,both,Percent,3.0,211,33.65,0.935,-2751.61,-0.1304,201,42.29,0.688,-10685.97,-0.5358
4h,1.0,long only,Percent,3.0,99,35.35,1.007,127.5,0.0129,103,43.69,0.753,-4223.46,-0.41
4h,1.0,short only,Percent,3.0,112,32.14,0.876,-2879.11,-0.2571,98,40.82,0.624,-6462.51,-0.6679
4h,1.0,both,Percent,5.0,169,42.01,0.865,-6299.65,-0.3728,158,55.06,0.74,-8681.56,-0.5547
